work_year,job_role,job_category,experience_level,employment_type,work_setting,company_location,company_size,salary_in_usd
2020,Machine Learning Engineer,ML/AI,Executive,Contract,Hybrid,India,Large,149786
2020,Data Scientist,Data Science,Entry-Level,Contract,Remote,Germany,Medium,122424
2021,Statistician,Data Science,Entry-Level,Full-Time,Hybrid,Germany,Medium,163018
2020,Data Scientist,Data Science,Executive,Full-Time,Remote,Mexico,Large,183015
2022,Data Analyst,ML/AI,Senior,Part-Time,In-person,Germany,Medium,45740
2022,Statistician,Analysis,Mid-Level,Contract,In-person,Mexico,Large,144988
2020,Statistician,Engineering,Mid-Level,Part-Time,Remote,United Kingdom,Medium,104712
2020,Data Engineer,Data Science,Entry-Level,Freelance,In-person,United States,Large,125402
2022,Data Analyst,Data Science,Executive,Freelance,Hybrid,United Kingdom,Medium,67269
2021,Data Analyst,Engineering,Entry-Level,Part-Time,In-person,China,Medium,68682
2020,Statistician,Analysis,Executive,Full-Time,Hybrid,China,Small,150359
2020,Data Analyst,Analysis,Mid-Level,Freelance,In-person,Japan,Small,185673
2022,Statistician,ML/AI,Mid-Level,Full-Time,In-person,China,Medium,62850
2020,Data Engineer,ML/AI,Mid-Level,Part-Time,Hybrid,Germany,Medium,71132
2021,Statistician,Engineering,Executive,Full-Time,In-person,United States,Large,166876
2022,Data Analyst,ML/AI,Executive,Contract,Hybrid,Germany,Small,115061
2020,Data Analyst,ML/AI,Mid-Level,Freelance,Hybrid,United States,Small,82034
2022,Statistician,ML/AI,Entry-Level,Full-Time,In-person,United Kingdom,Medium,75061
2020,Statistician,Data Science,Executive,Full-Time,In-person,China,Large,188491
2020,Statistician,ML/AI,Senior,Contract,Hybrid,United Kingdom,Small,184818
2020,Machine Learning Engineer,Engineering,Mid-Level,Full-Time,Remote,Germany,Medium,108348
2021,Data Analyst,Analysis,Executive,Part-Time,In-person,India,Medium,186408
2021,Data Analyst,ML/AI,Mid-Level,Part-Time,In-person,United States,Medium,144892
2022,Machine Learning Engineer,Analysis,Senior,Part-Time,Remote,China,Medium,75952
2020,Statistician,ML/AI,Entry-Level,Freelance,Remote,Japan,Medium,125996
2020,Data Engineer,Engineering,Senior,Full-Time,In-person,Mexico,Small,155982
2021,Statistician,Data Science,Executive,Freelance,In-person,India,Medium,89379
2020,Statistician,Engineering,Entry-Level,Freelance,In-person,United Kingdom,Large,195392
2021,Machine Learning Engineer,Data Science,Executive,Full-Time,Remote,United States,Medium,136120
2020,Data Analyst,ML/AI,Entry-Level,Full-Time,In-person,India,Large,157852
2022,Statistician,ML/AI,Entry-Level,Part-Time,Remote,Mexico,Medium,128111
2020,Data Analyst,Data Science,Entry-Level,Freelance,Remote,Japan,Medium,66516
2020,Data Scientist,Engineering,Mid-Level,Freelance,Hybrid,India,Medium,101114
2021,Data Analyst,Analysis,Senior,Full-Time,Remote,Japan,Small,152078
2020,Data Engineer,Data Science,Executive,Freelance,Hybrid,United Kingdom,Medium,159657
2020,Data Engineer,ML/AI,Entry-Level,Contract,Remote,United States,Large,91240
2021,Statistician,Data Science,Mid-Level,Full-Time,Remote,United Kingdom,Small,71798
2022,Data Analyst,ML/AI,Entry-Level,Part-Time,Hybrid,United States,Medium,148371
2022,Statistician,Data Science,Executive,Contract,Hybrid,India,Large,96473
2021,Machine Learning Engineer,ML/AI,Executive,Contract,Hybrid,United Kingdom,Small,155811
2021,Data Engineer,Data Science,Executive,Part-Time,Hybrid,United States,Medium,161496
2021,Statistician,Analysis,Executive,Contract,Hybrid,China,Small,139806
2021,Machine Learning Engineer,ML/AI,Mid-Level,Contract,Hybrid,Japan,Medium,164123
2021,Statistician,Engineering,Senior,Contract,Hybrid,United States,Large,131209
2022,Data Analyst,Analysis,Executive,Freelance,Remote,China,Large,126878
2022,Data Analyst,Engineering,Mid-Level,Contract,Remote,United Kingdom,Medium,107774
2021,Data Analyst,Data Science,Entry-Level,Contract,Hybrid,United Kingdom,Large,57786
2020,Data Analyst,Engineering,Executive,Full-Time,In-person,India,Large,125204
2021,Data Scientist,Engineering,Executive,Part-Time,Hybrid,Japan,Large,162339
2020,Machine Learning Engineer,Data Science,Executive,Freelance,In-person,United States,Medium,49650
2021,Machine Learning Engineer,ML/AI,Executive,Freelance,Remote,United Kingdom,Large,37017
2021,Data Analyst,Analysis,Senior,Part-Time,Remote,United States,Medium,170921
2022,Data Scientist,Engineering,Executive,Freelance,In-person,Germany,Small,92453
2020,Data Analyst,Engineering,Executive,Freelance,Remote,Japan,Large,97762
2020,Data Scientist,ML/AI,Entry-Level,Freelance,Hybrid,Japan,Large,165460
2022,Data Analyst,ML/AI,Senior,Full-Time,In-person,China,Medium,97958
2022,Data Engineer,Analysis,Mid-Level,Full-Time,In-person,Germany,Large,107568
2022,Data Engineer,ML/AI,Senior,Freelance,Remote,Japan,Small,102852
2022,Statistician,ML/AI,Executive,Part-Time,In-person,Germany,Medium,163915
2020,Data Analyst,Data Science,Senior,Part-Time,In-person,United States,Large,58015
2020,Machine Learning Engineer,Analysis,Senior,Full-Time,In-person,Mexico,Small,76546
2021,Statistician,Analysis,Mid-Level,Full-Time,Remote,Germany,Medium,81055
2021,Data Engineer,ML/AI,Mid-Level,Contract,In-person,India,Small,132528
2022,Data Analyst,Data Science,Entry-Level,Full-Time,In-person,China,Medium,133283
2022,Statistician,Data Science,Executive,Freelance,Hybrid,Germany,Medium,79577
2022,Data Analyst,Analysis,Entry-Level,Full-Time,Hybrid,United States,Medium,196241
2021,Data Engineer,Data Science,Mid-Level,Contract,In-person,Japan,Large,59415
2021,Statistician,Engineering,Entry-Level,Contract,Remote,India,Medium,176757
2021,Data Engineer,Engineering,Senior,Part-Time,In-person,Germany,Large,45963
2021,Data Scientist,Engineering,Senior,Part-Time,Remote,China,Large,190770
2021,Data Engineer,Analysis,Mid-Level,Freelance,Hybrid,China,Large,92415
2021,Data Analyst,Analysis,Senior,Full-Time,Hybrid,United States,Large,86400
2021,Machine Learning Engineer,Data Science,Executive,Contract,In-person,India,Medium,144731
2022,Data Engineer,Data Science,Mid-Level,Contract,Remote,India,Large,85450
2022,Machine Learning Engineer,Analysis,Executive,Part-Time,Remote,India,Small,116962
2022,Data Scientist,Analysis,Mid-Level,Part-Time,Remote,Germany,Small,181650
2022,Statistician,Engineering,Mid-Level,Full-Time,In-person,United States,Medium,148639
2021,Statistician,Data Science,Entry-Level,Contract,Remote,United States,Large,58842
2020,Machine Learning Engineer,Data Science,Mid-Level,Part-Time,Hybrid,United States,Small,46531
2021,Statistician,Engineering,Mid-Level,Full-Time,Remote,Mexico,Small,163242
2020,Data Engineer,Engineering,Entry-Level,Full-Time,Remote,United Kingdom,Small,151843
2022,Machine Learning Engineer,Data Science,Senior,Full-Time,In-person,Japan,Large,168369
2021,Data Analyst,ML/AI,Executive,Part-Time,In-person,United States,Medium,34163
2022,Data Engineer,Data Science,Mid-Level,Part-Time,In-person,United Kingdom,Small,70794
2021,Data Engineer,Engineering,Executive,Part-Time,In-person,United Kingdom,Medium,71787
2022,Data Engineer,Analysis,Entry-Level,Freelance,In-person,India,Small,138248
2020,Data Analyst,Analysis,Mid-Level,Freelance,Remote,Japan,Large,87219
2020,Data Scientist,Engineering,Executive,Freelance,Remote,India,Small,131243
2020,Statistician,Analysis,Senior,Part-Time,In-person,Japan,Small,140224
2021,Machine Learning Engineer,Data Science,Entry-Level,Part-Time,In-person,Mexico,Small,54448
2020,Data Scientist,Analysis,Entry-Level,Freelance,Remote,India,Large,86437
2021,Machine Learning Engineer,Engineering,Executive,Contract,In-person,China,Large,58299
2020,Statistician,Analysis,Mid-Level,Contract,Hybrid,Germany,Small,107093
2020,Data Analyst,Data Science,Mid-Level,Contract,Remote,Japan,Small,199720
2021,Data Engineer,Data Science,Senior,Contract,Hybrid,China,Large,175168
2021,Data Engineer,Engineering,Senior,Freelance,Remote,United Kingdom,Large,155113
2020,Data Analyst,Engineering,Mid-Level,Full-Time,Remote,United Kingdom,Large,129317
2021,Data Scientist,Engineering,Entry-Level,Full-Time,Remote,Japan,Small,168463
2020,Data Scientist,Data Science,Senior,Contract,Remote,India,Large,104891
2021,Machine Learning Engineer,ML/AI,Senior,Part-Time,Remote,Mexico,Medium,70286
2022,Data Analyst,Data Science,Entry-Level,Contract,Remote,Germany,Large,121353
2022,Data Scientist,ML/AI,Mid-Level,Contract,Remote,Germany,Medium,141027
2022,Data Analyst,ML/AI,Executive,Full-Time,In-person,United States,Small,67595
2022,Statistician,Analysis,Senior,Part-Time,In-person,Japan,Medium,158840
2022,Data Engineer,ML/AI,Entry-Level,Full-Time,In-person,Germany,Medium,92740
2020,Data Engineer,Analysis,Senior,Part-Time,Hybrid,India,Medium,80929
2022,Data Engineer,Engineering,Entry-Level,Freelance,Remote,India,Large,62827
2022,Data Analyst,Analysis,Senior,Full-Time,In-person,United Kingdom,Small,56209
2022,Data Analyst,Analysis,Mid-Level,Freelance,In-person,Germany,Large,127654
2022,Machine Learning Engineer,Engineering,Entry-Level,Freelance,In-person,Germany,Medium,138947
2021,Data Engineer,Engineering,Executive,Contract,Remote,India,Large,103396
2020,Machine Learning Engineer,Data Science,Executive,Part-Time,Remote,United Kingdom,Small,174878
2022,Data Engineer,Data Science,Senior,Full-Time,Hybrid,Germany,Small,143254
2022,Machine Learning Engineer,Data Science,Executive,Contract,Hybrid,Mexico,Small,186478
2022,Machine Learning Engineer,Data Science,Senior,Full-Time,Remote,Mexico,Small,195432
2020,Statistician,Analysis,Entry-Level,Freelance,Hybrid,India,Medium,110000
2021,Machine Learning Engineer,ML/AI,Mid-Level,Full-Time,In-person,United Kingdom,Large,68865
2020,Data Analyst,Data Science,Executive,Full-Time,Hybrid,United Kingdom,Medium,167530
2021,Machine Learning Engineer,ML/AI,Executive,Contract,In-person,India,Medium,39151
2022,Data Engineer,Data Science,Mid-Level,Part-Time,Hybrid,United Kingdom,Medium,160759
2022,Machine Learning Engineer,ML/AI,Entry-Level,Full-Time,In-person,China,Large,102024
2020,Data Scientist,Engineering,Executive,Freelance,Hybrid,China,Small,185613
2020,Data Engineer,Analysis,Executive,Freelance,Hybrid,United Kingdom,Medium,154001
2021,Data Scientist,Analysis,Executive,Contract,Remote,United States,Small,182875
2021,Data Engineer,ML/AI,Senior,Freelance,Remote,United Kingdom,Small,73183
2020,Data Analyst,Data Science,Mid-Level,Full-Time,In-person,Mexico,Medium,92323
2021,Data Analyst,Analysis,Entry-Level,Part-Time,Remote,Germany,Medium,153978
2020,Data Analyst,ML/AI,Executive,Full-Time,In-person,United Kingdom,Small,120254
2021,Data Scientist,Data Science,Entry-Level,Contract,Remote,Germany,Medium,172242
2020,Statistician,Engineering,Executive,Freelance,Remote,India,Small,77284
2020,Data Engineer,Analysis,Senior,Full-Time,In-person,United Kingdom,Large,170332
2020,Data Analyst,Data Science,Entry-Level,Full-Time,Hybrid,India,Large,168708
2021,Data Engineer,Engineering,Entry-Level,Freelance,In-person,Japan,Large,132491
2021,Data Scientist,Analysis,Executive,Part-Time,In-person,Mexico,Large,66108
2021,Statistician,Engineering,Senior,Part-Time,In-person,China,Small,45941
2020,Data Scientist,Data Science,Senior,Part-Time,Remote,United Kingdom,Small,189427
2021,Data Engineer,ML/AI,Mid-Level,Freelance,Remote,India,Medium,102836
2021,Statistician,Analysis,Mid-Level,Full-Time,Remote,Japan,Small,117719
2020,Statistician,ML/AI,Entry-Level,Contract,In-person,Germany,Medium,194805
2022,Data Scientist,Data Science,Mid-Level,Full-Time,Hybrid,Germany,Medium,37444
2020,Data Analyst,Data Science,Entry-Level,Freelance,Hybrid,China,Small,121291
2021,Data Engineer,Engineering,Mid-Level,Freelance,In-person,China,Large,118598
2020,Machine Learning Engineer,Data Science,Executive,Full-Time,In-person,Mexico,Small,175682
2022,Machine Learning Engineer,Analysis,Mid-Level,Freelance,Hybrid,Mexico,Small,96036
2020,Data Scientist,ML/AI,Executive,Full-Time,Remote,Germany,Large,34554
2021,Data Engineer,Data Science,Entry-Level,Full-Time,In-person,Germany,Medium,55545
2022,Data Engineer,Data Science,Mid-Level,Part-Time,Hybrid,Germany,Large,160745
2021,Data Scientist,Analysis,Mid-Level,Freelance,Hybrid,United States,Small,91971
2022,Data Engineer,ML/AI,Mid-Level,Freelance,Hybrid,Mexico,Small,76059
2022,Data Analyst,ML/AI,Executive,Part-Time,Remote,China,Large,167843
2020,Data Scientist,Data Science,Senior,Part-Time,Hybrid,India,Medium,99468
2020,Data Analyst,Engineering,Mid-Level,Part-Time,Hybrid,Japan,Large,56055
2021,Data Engineer,ML/AI,Entry-Level,Contract,Hybrid,Japan,Medium,198274
2020,Data Scientist,Analysis,Executive,Freelance,In-person,United Kingdom,Large,188772
2020,Data Engineer,Engineering,Mid-Level,Full-Time,In-person,India,Small,33567
2022,Data Scientist,Engineering,Entry-Level,Full-Time,In-person,China,Large,56627
2020,Data Engineer,Data Science,Entry-Level,Full-Time,Hybrid,United States,Small,199640
2022,Data Analyst,Analysis,Entry-Level,Freelance,Hybrid,United States,Medium,181832
2022,Data Analyst,Data Science,Executive,Contract,Remote,India,Medium,191057
2022,Data Engineer,Analysis,Mid-Level,Freelance,Hybrid,Germany,Large,109944
2021,Data Scientist,ML/AI,Mid-Level,Freelance,Remote,Germany,Small,125368
2021,Machine Learning Engineer,Engineering,Senior,Freelance,Hybrid,India,Medium,70785
2021,Data Analyst,Data Science,Mid-Level,Freelance,Remote,China,Large,196655
2022,Data Analyst,Data Science,Senior,Freelance,In-person,Japan,Medium,194810
2021,Machine Learning Engineer,ML/AI,Senior,Contract,Hybrid,Germany,Large,54204
2021,Data Engineer,Engineering,Senior,Part-Time,Remote,United Kingdom,Large,46643
2020,Data Scientist,Data Science,Senior,Full-Time,In-person,China,Large,100561
2021,Data Engineer,Analysis,Entry-Level,Freelance,In-person,China,Small,67126
2021,Statistician,ML/AI,Entry-Level,Freelance,Hybrid,United States,Medium,88126
2022,Data Analyst,Engineering,Entry-Level,Freelance,Remote,Mexico,Small,112424
2022,Statistician,Data Science,Executive,Full-Time,Remote,Germany,Medium,154453
2022,Data Analyst,Analysis,Senior,Contract,Remote,Japan,Medium,75258
2022,Data Analyst,Data Science,Senior,Full-Time,In-person,China,Small,64527
2022,Statistician,Analysis,Entry-Level,Contract,Remote,Germany,Small,53898
2022,Statistician,Analysis,Executive,Part-Time,In-person,Germany,Large,33794
2021,Data Engineer,Analysis,Mid-Level,Freelance,Remote,United States,Small,175770
2022,Statistician,ML/AI,Entry-Level,Contract,In-person,United Kingdom,Large,173404
2022,Data Engineer,Engineering,Executive,Full-Time,Hybrid,China,Small,39593
2020,Data Engineer,Data Science,Mid-Level,Contract,In-person,Mexico,Medium,88132
2021,Data Engineer,Engineering,Executive,Contract,Remote,United Kingdom,Small,150973
2021,Data Analyst,Analysis,Mid-Level,Part-Time,In-person,Japan,Small,131633
2021,Data Analyst,Analysis,Senior,Freelance,Remote,Mexico,Small,41036
2022,Statistician,Engineering,Senior,Freelance,Hybrid,India,Large,124097
2022,Data Analyst,Engineering,Executive,Full-Time,In-person,India,Medium,83164
2022,Statistician,Data Science,Executive,Full-Time,Hybrid,Mexico,Medium,180423
2020,Data Analyst,Analysis,Mid-Level,Part-Time,In-person,India,Small,88413
2022,Data Scientist,Engineering,Executive,Contract,In-person,Japan,Small,48059
2020,Data Scientist,ML/AI,Executive,Contract,Hybrid,China,Large,57188
2021,Statistician,Data Science,Senior,Full-Time,Hybrid,Germany,Medium,128591
2022,Data Analyst,Analysis,Mid-Level,Freelance,In-person,United Kingdom,Small,111795
2020,Data Analyst,Data Science,Senior,Contract,In-person,United Kingdom,Small,41829
2020,Data Engineer,ML/AI,Entry-Level,Part-Time,In-person,Germany,Medium,103673
2022,Machine Learning Engineer,Data Science,Executive,Full-Time,Hybrid,China,Small,54502
2021,Statistician,ML/AI,Mid-Level,Contract,Remote,Mexico,Small,188276
2021,Machine Learning Engineer,Data Science,Senior,Freelance,Hybrid,United Kingdom,Medium,31265
2021,Machine Learning Engineer,ML/AI,Entry-Level,Freelance,In-person,China,Large,196823
2020,Statistician,ML/AI,Executive,Part-Time,In-person,Mexico,Small,185387
2020,Data Analyst,ML/AI,Senior,Part-Time,Hybrid,Mexico,Small,77457
2020,Statistician,Engineering,Entry-Level,Full-Time,In-person,Mexico,Medium,76875
2020,Machine Learning Engineer,Analysis,Executive,Full-Time,In-person,United Kingdom,Medium,90359
2021,Data Analyst,ML/AI,Senior,Freelance,In-person,India,Large,136334
2022,Data Scientist,Engineering,Executive,Freelance,In-person,India,Large,152950
2020,Statistician,Engineering,Entry-Level,Contract,In-person,United States,Small,194451
2020,Statistician,Data Science,Executive,Contract,Remote,United States,Small,94102
2021,Data Analyst,Analysis,Senior,Contract,Hybrid,United Kingdom,Large,131827
2022,Data Scientist,Analysis,Entry-Level,Part-Time,Hybrid,India,Large,122688
2022,Data Scientist,Data Science,Executive,Part-Time,Hybrid,China,Small,89469
2021,Data Analyst,Analysis,Entry-Level,Contract,Remote,United States,Large,125789
2021,Data Engineer,Engineering,Mid-Level,Freelance,Remote,United States,Small,195468
2022,Statistician,Engineering,Mid-Level,Full-Time,Hybrid,India,Large,43176
2020,Statistician,Engineering,Senior,Part-Time,Hybrid,China,Medium,95036
2022,Machine Learning Engineer,ML/AI,Entry-Level,Part-Time,Hybrid,United States,Large,37907
2021,Data Analyst,Data Science,Mid-Level,Contract,In-person,Germany,Large,33372
2020,Machine Learning Engineer,Engineering,Mid-Level,Full-Time,Remote,Mexico,Medium,188644
2020,Machine Learning Engineer,Engineering,Mid-Level,Part-Time,Remote,China,Medium,54592
2021,Data Scientist,Data Science,Executive,Full-Time,In-person,Germany,Small,174174
2021,Statistician,Data Science,Senior,Part-Time,Remote,India,Small,138093
2021,Machine Learning Engineer,Analysis,Mid-Level,Full-Time,Hybrid,India,Medium,186714
2022,Data Scientist,Engineering,Mid-Level,Full-Time,Remote,United States,Small,33139
2022,Data Analyst,Data Science,Mid-Level,Part-Time,In-person,United Kingdom,Large,107179
2020,Machine Learning Engineer,Analysis,Senior,Full-Time,Hybrid,Japan,Small,48643
2021,Statistician,Analysis,Senior,Freelance,Remote,Germany,Large,134425
2020,Machine Learning Engineer,Engineering,Mid-Level,Part-Time,Hybrid,Germany,Large,90117
2020,Data Analyst,ML/AI,Entry-Level,Part-Time,Remote,China,Large,189852
2020,Machine Learning Engineer,Analysis,Executive,Freelance,Hybrid,China,Medium,136485
2020,Statistician,Data Science,Entry-Level,Full-Time,In-person,India,Small,143607
2021,Data Scientist,ML/AI,Entry-Level,Freelance,In-person,Mexico,Small,90332
2020,Statistician,ML/AI,Mid-Level,Part-Time,Remote,United Kingdom,Medium,60632
2021,Data Scientist,Analysis,Entry-Level,Freelance,Remote,India,Medium,199565
2021,Data Engineer,Engineering,Senior,Full-Time,Hybrid,United States,Small,190480
2022,Statistician,ML/AI,Senior,Freelance,In-person,United Kingdom,Medium,117157
2021,Statistician,Engineering,Executive,Part-Time,Hybrid,United States,Medium,187011
2022,Data Analyst,Analysis,Senior,Full-Time,In-person,Germany,Large,66843
2021,Machine Learning Engineer,ML/AI,Senior,Part-Time,Hybrid,India,Medium,68930
2021,Data Scientist,ML/AI,Mid-Level,Part-Time,Hybrid,China,Large,190942
2021,Data Scientist,Data Science,Senior,Contract,Hybrid,India,Medium,135940
2022,Data Analyst,Engineering,Entry-Level,Part-Time,Remote,Japan,Medium,88103
2022,Data Analyst,Engineering,Entry-Level,Part-Time,In-person,United Kingdom,Large,70770
2020,Machine Learning Engineer,ML/AI,Entry-Level,Full-Time,Remote,Mexico,Small,141757
2022,Machine Learning Engineer,Analysis,Executive,Full-Time,Remote,Germany,Small,60158
2022,Statistician,Data Science,Mid-Level,Full-Time,Hybrid,Japan,Medium,118992
2022,Data Engineer,ML/AI,Executive,Freelance,In-person,Japan,Large,77401
2022,Machine Learning Engineer,ML/AI,Senior,Freelance,Remote,India,Small,174064
2020,Data Analyst,Analysis,Executive,Full-Time,Hybrid,United Kingdom,Small,186462
2022,Machine Learning Engineer,Analysis,Senior,Freelance,In-person,India,Small,75858
2021,Data Scientist,Data Science,Entry-Level,Contract,In-person,United Kingdom,Small,177828
2021,Data Engineer,Engineering,Executive,Freelance,Remote,Japan,Medium,183043
2022,Statistician,Engineering,Executive,Contract,Hybrid,United States,Small,168143
2022,Data Scientist,ML/AI,Executive,Full-Time,Remote,Germany,Small,114811
2021,Data Scientist,Analysis,Entry-Level,Full-Time,In-person,Japan,Medium,159970
2021,Data Engineer,Data Science,Senior,Freelance,Remote,India,Small,36586
2020,Statistician,ML/AI,Entry-Level,Full-Time,Hybrid,Mexico,Small,49703
2021,Data Analyst,Data Science,Entry-Level,Full-Time,In-person,Mexico,Small,106177
2021,Statistician,Analysis,Mid-Level,Part-Time,Hybrid,Germany,Medium,66735
2022,Machine Learning Engineer,Analysis,Executive,Full-Time,Hybrid,Japan,Large,128525
2021,Data Scientist,Analysis,Senior,Part-Time,In-person,United Kingdom,Small,69648
2020,Machine Learning Engineer,Engineering,Senior,Full-Time,Hybrid,Mexico,Small,173201
2021,Data Analyst,Analysis,Mid-Level,Contract,Hybrid,India,Small,66656
2022,Machine Learning Engineer,ML/AI,Mid-Level,Contract,Hybrid,Mexico,Small,190737
2022,Statistician,Data Science,Senior,Full-Time,In-person,Japan,Small,174571
2021,Machine Learning Engineer,Data Science,Mid-Level,Contract,Hybrid,United Kingdom,Large,105888
2022,Data Analyst,ML/AI,Senior,Contract,Remote,United Kingdom,Small,49654
2020,Data Analyst,ML/AI,Senior,Contract,Remote,United Kingdom,Small,160117
2020,Data Analyst,Data Science,Senior,Freelance,Hybrid,Mexico,Medium,116613
2021,Statistician,Engineering,Entry-Level,Contract,Remote,Germany,Large,48982
2021,Data Analyst,ML/AI,Executive,Part-Time,Remote,India,Large,129970
2021,Data Scientist,ML/AI,Executive,Freelance,In-person,United Kingdom,Large,111848
2022,Data Analyst,ML/AI,Entry-Level,Part-Time,Hybrid,Japan,Small,139577
2020,Machine Learning Engineer,ML/AI,Mid-Level,Part-Time,In-person,United Kingdom,Small,109874
2020,Machine Learning Engineer,Engineering,Senior,Part-Time,Hybrid,India,Small,60173
2022,Machine Learning Engineer,Engineering,Entry-Level,Freelance,Remote,China,Medium,156765
2020,Statistician,ML/AI,Entry-Level,Full-Time,In-person,China,Medium,67525
2021,Machine Learning Engineer,Analysis,Mid-Level,Contract,In-person,Germany,Medium,57328
2021,Statistician,Data Science,Entry-Level,Contract,Remote,United Kingdom,Small,172432
2021,Statistician,Analysis,Executive,Full-Time,Remote,Japan,Small,146242
2020,Data Analyst,Engineering,Entry-Level,Full-Time,Hybrid,India,Small,134419
2021,Data Scientist,ML/AI,Senior,Part-Time,Hybrid,Mexico,Large,52625
2022,Data Analyst,ML/AI,Senior,Freelance,Remote,United Kingdom,Medium,137576
2022,Data Analyst,Analysis,Senior,Part-Time,Remote,Mexico,Medium,46471
2020,Statistician,Analysis,Executive,Contract,In-person,Germany,Large,69883
2022,Statistician,Data Science,Executive,Full-Time,In-person,United States,Large,32703
2022,Machine Learning Engineer,ML/AI,Mid-Level,Contract,Hybrid,China,Large,95524
2020,Machine Learning Engineer,Analysis,Entry-Level,Full-Time,In-person,Japan,Small,195587
2021,Data Analyst,Data Science,Mid-Level,Freelance,Remote,China,Large,45151
2021,Data Engineer,Engineering,Entry-Level,Part-Time,Remote,United Kingdom,Small,79190
2021,Data Engineer,Analysis,Entry-Level,Contract,Remote,United Kingdom,Small,86195
2020,Machine Learning Engineer,Engineering,Executive,Freelance,Remote,United States,Medium,156559
2022,Data Engineer,Data Science,Senior,Contract,Hybrid,India,Large,94108
2021,Machine Learning Engineer,Engineering,Entry-Level,Full-Time,Remote,Mexico,Small,179607
2021,Statistician,ML/AI,Executive,Contract,Remote,Mexico,Small,132241
2020,Data Analyst,ML/AI,Mid-Level,Freelance,Remote,Mexico,Large,135190
2021,Data Scientist,Data Science,Mid-Level,Freelance,Remote,United States,Large,73050
2020,Data Analyst,ML/AI,Mid-Level,Part-Time,Hybrid,Mexico,Small,62976
2022,Machine Learning Engineer,Data Science,Mid-Level,Contract,Hybrid,India,Small,30599
2020,Machine Learning Engineer,ML/AI,Senior,Full-Time,In-person,United Kingdom,Medium,89867
2020,Data Analyst,Engineering,Senior,Contract,Hybrid,United States,Small,33709
2020,Machine Learning Engineer,ML/AI,Senior,Part-Time,Hybrid,China,Large,185182
2020,Data Engineer,Engineering,Mid-Level,Full-Time,Hybrid,Mexico,Large,79365
2022,Data Engineer,Analysis,Entry-Level,Full-Time,In-person,China,Medium,35723
2022,Machine Learning Engineer,Engineering,Senior,Part-Time,Remote,Mexico,Medium,142308
2021,Machine Learning Engineer,Data Science,Executive,Full-Time,In-person,United Kingdom,Medium,188466
2022,Data Engineer,ML/AI,Executive,Freelance,Remote,United States,Small,94120
2022,Machine Learning Engineer,ML/AI,Executive,Freelance,Hybrid,United Kingdom,Small,40316
2021,Machine Learning Engineer,Analysis,Entry-Level,Full-Time,Remote,China,Medium,183694
2022,Data Analyst,Analysis,Entry-Level,Contract,In-person,China,Medium,185916
2020,Data Scientist,Data Science,Senior,Full-Time,Remote,United Kingdom,Large,136276
2020,Data Engineer,Engineering,Entry-Level,Contract,Remote,Mexico,Medium,51162
2021,Data Analyst,Analysis,Executive,Part-Time,Hybrid,United Kingdom,Small,58833
2021,Data Scientist,ML/AI,Mid-Level,Freelance,Remote,Germany,Medium,178278
2021,Machine Learning Engineer,Analysis,Mid-Level,Freelance,Remote,United States,Medium,156515
2020,Machine Learning Engineer,Analysis,Mid-Level,Part-Time,Hybrid,Germany,Large,150788
2022,Data Analyst,Engineering,Executive,Part-Time,In-person,United Kingdom,Medium,81747
2020,Machine Learning Engineer,ML/AI,Executive,Freelance,Hybrid,Japan,Large,120037
2021,Statistician,Data Science,Executive,Part-Time,Remote,China,Large,143850
2022,Data Analyst,ML/AI,Entry-Level,Full-Time,Hybrid,India,Medium,148641
2022,Data Scientist,Engineering,Entry-Level,Full-Time,Hybrid,United States,Medium,148519
2020,Data Analyst,ML/AI,Executive,Contract,Remote,United States,Small,149271
2021,Data Engineer,Data Science,Entry-Level,Contract,In-person,China,Small,85387
2020,Data Analyst,Data Science,Entry-Level,Contract,Hybrid,India,Large,55226
2022,Machine Learning Engineer,Analysis,Executive,Full-Time,In-person,Germany,Large,136287
2020,Machine Learning Engineer,Analysis,Senior,Freelance,Hybrid,India,Small,167572
2020,Statistician,Analysis,Mid-Level,Contract,Remote,Japan,Large,31634
2021,Statistician,ML/AI,Mid-Level,Full-Time,Remote,United Kingdom,Small,175131
2021,Statistician,Data Science,Mid-Level,Freelance,Hybrid,India,Small,145855
2022,Data Scientist,Engineering,Senior,Part-Time,Hybrid,Mexico,Small,34076
2020,Statistician,Analysis,Executive,Full-Time,Hybrid,India,Small,136694
2020,Data Scientist,ML/AI,Entry-Level,Part-Time,Remote,United Kingdom,Large,68210
2020,Statistician,Analysis,Executive,Contract,Hybrid,China,Large,158798
2022,Data Scientist,Data Science,Mid-Level,Freelance,Remote,United States,Large,187003
2022,Data Analyst,Analysis,Entry-Level,Full-Time,Hybrid,China,Medium,62007
2021,Data Analyst,Data Science,Mid-Level,Contract,Remote,Mexico,Medium,183816
2021,Machine Learning Engineer,ML/AI,Executive,Contract,Hybrid,Japan,Large,191468
2021,Data Scientist,Analysis,Executive,Freelance,In-person,China,Large,118619
2020,Data Engineer,Data Science,Senior,Part-Time,In-person,India,Large,152315
2020,Machine Learning Engineer,ML/AI,Executive,Contract,Remote,India,Large,96038
2021,Data Analyst,Analysis,Mid-Level,Freelance,Hybrid,United States,Small,173828
2020,Data Scientist,Engineering,Senior,Freelance,In-person,Japan,Medium,171677
